id,store_name,store_email,department,income,date_measured,country
45,"Allied World Assurance Company Holdings, AG",kwestley18@odnoklassniki.ru,Kids,$29713982.25,2-12-1975,United Kingdom
46,SeaSpine Holdings Corporation,lwermerling19@icq.com,Health,$72510893.34,16-2-1995,United States
47,"Banco Latinoamericano de Comercio Exterior, S.A.",,Music,$57576442.70,12-9-2006,South Africa
48,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index ,,Garden,$77830854.66,21-2-2010,United Kingdom
49,WisdomTree Middle East Dividend Fund,,Garden,$6306471.67,25-7-1987,South Africa
50,"ChemoCentryx, Inc.",mrenny1d@hatena.ne.jp,Computers,$79009006.26,15-2-1989,South Africa
51,IQ Chaikin U.S. Small Cap ETF,,Beauty,$10746587.89,26-6-2004,South Africa
52,Textainer Group Holdings Limited,,Home,$61594948.18,3-1-1999,United Kingdom
53,"Brookline Bancorp, Inc.",bbruneton1g@dailymotion.com,Movies,$15708206.65,15-1-1997,United States
54,Christopher & Banks Corporation,,Toys,$63712978.44,14-2-2005,United States
55,"The Bon-Ton Stores, Inc.",,Tools,$54902950.68,9-6-1997,United Kingdom
56,Jensyn Acquistion Corp.,,Home,$10012452.97,25-4-1996,United Kingdom
57,"Northfield Bancorp, Inc.",,Baby,$15044289.80,8-7-2005,United Kingdom
58,Extra Space Storage Inc,,Health,$81459541.82,3-9-2009,United Kingdom
59,"CapStar Financial Holdings, Inc.",,Baby,$81245084.12,27-7-2010,South Africa
60,"Interpublic Group of Companies, Inc. (The)",olangan1n@barnesandnoble.com,Electronics,$3557559.32,2-11-1993,United States
61,LHC Group,hwestrey1o@jigsy.com,Jewelry,$28458081.44,18-8-1994,United Kingdom
62,"Alliance Holdings GP, L.P.",,Home,$59015579.18,4-3-1985,United States
63,JMU Limited,,Beauty,$79106483.07,27-11-2010,South Africa
64,"Cedar Realty Trust, Inc.",,Baby,$12463300.46,21-9-1990,United States
65,"Cavco Industries, Inc.",,Kids,$53771183.86,16-6-1998,United Kingdom
66,Capital City Bank Group,,Baby,$45712413.61,21-10-2003,South Africa
67,"Kratos Defense & Security Solutions, Inc.",okhomishin1u@oakley.com,Books,$78539919.99,18-5-2003,United Kingdom
68,The Intergroup Corporation,,Garden,$69900311.41,12-4-2006,South Africa
69,TransCanada Corporation,cdufaur1w@webs.com,Jewelry,$7246755.41,18-10-2006,United States
70,Amarin Corporation plc,djura1x@amazon.de,,$67286696.47,13-3-1993,South Africa
71,Belden Inc,kbevington1y@last.fm,Outdoors,$73846486.84,20-1-2004,United Kingdom
72,"Safeguard Scientifics, Inc.",,Automotive,$29756244.15,4-10-1997,South Africa
73,"Kirkland's, Inc.",,Clothing,$12621170.22,15-1-1970,United States
74,GasLog Partners LP,ttayt21@devhub.com,Outdoors,$65138567.40,2-6-2004,South Africa
75,Humana Inc.,,Sports,$13640139.45,16-2-2005,United Kingdom
76,"Everspin Technologies, Inc.",,Movies,$80755578.48,18-6-2011,United States
77,"Dr Pepper Snapple Group, Inc",danstee24@wix.com,Movies,$87768768.83,25-7-2012,United States
78,"AcelRx Pharmaceuticals, Inc.",hcrane25@addthis.com,Garden,$20404582.52,26-8-1978,South Africa
79,"Transcontinental Realty Investors, Inc.",,Computers,$43544199.56,27-4-2009,United Kingdom
80,Lennar Corporation,skahen27@forbes.com,Games,$46479031.19,27-2-2004,United Kingdom
81,"BeiGene, Ltd.",khow28@irs.gov,Toys,$74632262.36,21-8-2001,United Kingdom
82,FIRST REPUBLIC BANK,,Home,$98038007.79,8-9-1985,South Africa
83,Invacare Corporation,,Tools,$31671772.23,7-4-2008,United States
84,PBF Energy Inc.,,Home,$9183184.99,6-12-1978,United Kingdom
85,Tiptree Inc.,,Grocery,$21233771.08,4-5-2002,United States
86,Vulcan Materials Company,,Automotive,$57363630.56,1-12-1998,United States
87,"Extreme Networks, Inc.",npayton2e@howstuffworks.com,Toys,$13410134.84,11-6-2000,United Kingdom
88,"NextEra Energy, Inc.",,Beauty,$73816446.78,9-1-2012,United States
89,Mercer International Inc.,,Garden,$15711848.36,26-8-2007,United States
90,Salient Midstream & MLP Fund,cjory2h@gmpg.org,Books,$82554446.10,13-12-2002,United Kingdom
91,"Celadon Group, Inc.",,Movies,$68941482.21,12-5-1996,United States
92,"ALJ Regional Holdings, Inc.",,Grocery,$89368007.47,12-5-2000,United Kingdom
93,"Juniper Networks, Inc.",,Toys,$84405684.49,4-12-1992,South Africa
94,Novanta Inc.,glucia2l@deviantart.com,Beauty,$31563148.09,15-1-1998,South Africa
95,Triangle Capital Corporation,crodolf2m@ask.com,Tools,$23825679.54,22-12-1998,South Africa
96,Telecom Italia S.P.A.,,Toys,$61199426.97,3-12-2010,South Africa
97,Bank of America Corporation,zsussans2o@discuz.net,Automotive,$78947711.82,7-12-2006,South Africa
98,ON Semiconductor Corporation,dmcaneny2p@friendfeed.com,Outdoors,$856142.71,26-3-1963,United Kingdom
99,International Speedway Corporation,,Automotive,$91817502.46,23-10-2001,United States
100,Entegra Financial Corp.,gbowling2r@vimeo.com,Toys,$87400217.97,5-3-2002,United Kingdom
101,Abeona Therapeutics Inc.,tlammertz2s@google.es,Games,$57280965.64,11-7-2012,United States
102,"Poage Bankshares, Inc.",eshemming2t@tripadvisor.com,Sports,$27664852.63,9-2-2006,United States
103,"Vitamin Shoppe, Inc",,Games,$94385994.29,20-9-2001,South Africa
104,"Owens & Minor, Inc.",rshevell2v@odnoklassniki.ru,Outdoors,$14901499.68,26-9-2010,United Kingdom
105,Apache Corporation,,Clothing,$29670677.06,1-8-1984,United Kingdom
106,Bitauto Holdings Limited,,Home,$160042.27,6-3-1994,United Kingdom
107,First Trust High Income Long Short Fund,,Toys,$75397882.66,7-2-1998,United Kingdom
108,Thomson Reuters Corp,aciciotti2z@phpbb.com,Shoes,$75630073.35,10-6-2005,United Kingdom
109,WNS (Holdings) Limited,,Home,$16933435.84,1-8-2007,United Kingdom
110,Sherwin-Williams Company (The),mmenaul31@smugmug.com,Clothing,$1791354.11,21-1-1996,United Kingdom
111,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp,rfilyakov32@springer.com,Toys,$24433244.97,20-8-1986,Unknown
112,Pacific Premier Bancorp Inc,,Games,$88521324.45,9-10-2009,South Africa
113,"Infinity Pharmaceuticals, Inc.",,Tools,$82226912.36,15-11-2010,Unknown
114,SPDR Dorsey Wright Fixed Income Allocation ETF,,Automotive,$17347616.14,16-8-2007,United Kingdom
115,"Hawaiian Holdings, Inc.",hbridel36@live.com,Movies,$56881548.31,14-11-1998,United Kingdom
116,Exterran Corporation,apetyankin37@google.es,Baby,$45080944.24,22-5-1999,United Kingdom
117,Westmoreland Coal Company,aroxbrough38@cnet.com,Grocery,$89647782.48,16-11-1984,United Kingdom
118,Altisource Portfolio Solutions S.A.,tventam39@tamu.edu,Sports,$1167739.52,11-1-1996,South Africa
119,Lloyds Banking Group Plc,abaskerville3a@jigsy.com,Jewelry,$27477323.90,11-6-1996,United Kingdom
120,Flowserve Corporation,bbertelet3b@bluehost.com,Games,$80179957.75,3-11-2006,United States
121,VelocityShares 3x Inverse Gold ETN,sknibbs3c@irs.gov,Games,$20989721.85,5-8-2011,United Kingdom
122,National General Holdings Corp,,Tools,$55429671.71,15-6-2008,United States
123,"Rollins, Inc.",,Health,$78536144.79,12-8-2000,United States
124,Horizons DAX Germany ETF,,Clothing,$86336821.26,19-4-2007,South Africa
125,Bank of America Corporation,mdidomenico3g@sakura.ne.jp,Outdoors,$48574873.55,8-7-1992,United Kingdom
126,"Prudential Financial, Inc.",,Tools,$80699446.04,15-4-2000,United Kingdom
127,Principal Healthcare Innovators Index ETF,apow3i@exblog.jp,Jewelry,$4178728.11,10-3-2008,United States
128,Universal Display Corporation,,Automotive,$89200581.72,27-4-1960,South Africa
129,Nuveen Michigan Quality Municipal Income Fund,,Music,$72066777.05,27-4-2002,United Kingdom
130,Lions Gate Entertainment Corporation,aakerman3l@yale.edu,Electronics,$61221308.53,21-11-2008,United States
131,Heico Corporation,,Music,$51839011.01,14-12-1999,South Africa
132,Corning Incorporated,,Electronics,$30278882.07,4-2-1993,Unknown
133,Credit Suisse AG,vmoss3o@amazon.de,Movies,$16836704.24,2-10-1993,United States
134,Kennametal Inc.,klargent3p@hibu.com,Industrial,$42925052.13,23-8-2007,South Africa
135,Nuveen Short Duration Credit Opportunities Fund,dofficer3q@chron.com,Electronics,$45159215.74,25-1-1988,United States
136,Federal Realty Investment Trust,,Automotive,$78795437.61,16-3-2003,South Africa
137,F.N.B. Corporation,,Health,$56816841.96,4-8-1988,United Kingdom
138,Quinpario Acquisition Corp. 2,,Baby,$61384136.07,14-2-1996,United States
139,"Marcus & Millichap, Inc.",,Electronics,$43995798.14,23-1-2004,United Kingdom
140,"Entergy Louisiana, Inc.",,Music,$13963032.66,22-2-1992,South Africa
141,"DSP Group, Inc.",aallawy3w@sciencedirect.com,Shoes,$23170196.45,19-3-1995,United Kingdom
142,Bank of America Corporation,,Sports,$1853075.58,20-2-2006,United Kingdom
143,Energous Corporation,,Electronics,$4467770.23,17-8-2007,United Kingdom
144,Investors Real Estate Trust,bsieur3z@toplist.cz,Sports,$81142637.75,21-7-1986,United Kingdom
145,"Midland States Bancorp, Inc.",,Outdoors,$25211071.68,10-9-2010,South Africa
146,"Diplomat Pharmacy, Inc.",ecausier41@amazon.de,Music,$95620377.66,26-11-2008,South Africa
147,Discover Financial Services,mmccreagh42@netlog.com,Baby,$55198695.75,25-6-1984,United States
148,Amedica Corporation,,Outdoors,$45967485.13,3-10-2009,United Kingdom
149,"Concert Pharmaceuticals, Inc.",dbenzi44@reddit.com,Automotive,$26545775.37,14-12-1995,United Kingdom
150,"Aberdeen Japan Equity Fund, Inc. ",mmadrell45@drupal.org,Kids,$90760328.08,14-10-1997,South Africa
151,"Assurant, Inc.",sbare46@netscape.com,Electronics,$48527857.37,6-4-1990,South Africa
152,Noodles & Company,adavidsson47@imageshack.us,,$40609743.80,1-5-2011,United States
153,Nuveen New York Municipal Value Fund 2,,Clothing,$23488727.10,13-2-1995,Unknown
154,"PB Bancorp, Inc.",tdoppler49@cpanel.net,Computers,$85852566.40,5-9-2002,South Africa
155,"Cidara Therapeutics, Inc.",vconti4a@cpanel.net,Tools,$8711880.58,6-10-1994,South Africa
156,FIRST REPUBLIC BANK,dglasscoo4b@hao123.com,Grocery,$90684137.82,12-9-2000,United States
157,Invesco Credit Opportunities Fund,bbanghe4c@cbc.ca,Kids,$43274196.01,16-9-2007,Unknown
158,Cimpress N.V,,Garden,$13179663.99,27-12-2003,United Kingdom
159,"Stericycle, Inc.",,Outdoors,$53872201.90,18-1-1994,South Africa
160,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,mbardell4f@people.com.cn,Kids,$18425995.58,27-2-1999,South Africa
161,Nevro Corp.,,Clothing,$3677980.65,2-8-2006,United States
162,Vanguard Intermediate -Term Government Bond ETF,,Electronics,$56580921.34,9-2-1990,South Africa
163,Heritage Financial Corporation,,Jewelry,$86458506.24,3-1-2007,South Africa
164,"Conn's, Inc.",,Shoes,$48585592.95,27-5-1995,South Africa
165,"Home Bancorp, Inc.",,Outdoors,$90098060.11,21-6-1978,United Kingdom
166,Amdocs Limited,,Shoes,$34840754.86,1-5-2000,South Africa
167,Prana Biotechnology Ltd,,Music,$11378622.77,3-5-2005,United Kingdom
168,"GoPro, Inc.",,Jewelry,$37112543.49,3-9-2008,Unknown
169,"Spok Holdings, Inc.",,Shoes,$17101356.97,25-8-1992,United Kingdom
170,iShares MSCI EAFE Small-Cap ETF,,Industrial,$5760890.24,7-3-2003,United States
171,"Acasti Pharma, Inc.",emannock4q@etsy.com,Health,$22240472.33,12-10-2005,United States
172,General Cable Corporation,jmacilurick4r@netlog.com,Clothing,$17157586.44,12-7-2002,United Kingdom
173,Janus Henderson Small Cap Growth Alpha ETF,,Games,$1115820.58,8-12-1994,South Africa
174,Illinois Tool Works Inc.,vmcillroy4t@hatena.ne.jp,Sports,$17114493.35,7-5-2007,South Africa
175,DarioHealth Corp.,,Beauty,$79500696.42,9-8-2009,South Africa
176,"LightInTheBox Holding Co., Ltd.",livanichev4v@smh.com.au,Industrial,$43321277.55,12-9-1992,United Kingdom
177,"ABIOMED, Inc.",sbraney4w@naver.com,,$141522.34,15-11-2005,United Kingdom
178,"AmTrust Financial Services, Inc.",egawler4x@nationalgeographic.com,Computers,$11790929.66,16-11-2012,United Kingdom
179,eGain Corporation,,Tools,$29700935.25,26-12-1992,United Kingdom
180,"Xenia Hotels & Resorts, Inc.",agobel4z@hatena.ne.jp,Jewelry,$71848937.39,13-1-2008,South Africa
181,PowerShares S&P SmallCap Financials Portfolio,,Kids,$43122133.45,6-7-2002,South Africa
182,"ViaSat, Inc.",kivanyukov51@squarespace.com,Health,$70349873.83,22-7-1987,United Kingdom
183,NovoCure Limited,,Garden,$95476651.47,7-9-1999,United Kingdom
184,"Selective Insurance Group, Inc.",,Music,$9641831.29,17-2-2000,United States
185,Credit Suisse AG,aivanikov54@house.gov,Tools,$89203199.22,12-7-2009,United Kingdom
186,Anworth Mortgage Asset  Corporation,,Jewelry,$66373505.81,13-10-1979,United Kingdom
187,Nuveen Insured California Select Tax-Free Income Portfolio,,Grocery,$62414167.57,5-12-2006,South Africa
188,"Veracyte, Inc.",,Games,$35333288.96,9-5-1999,United States
189,PureFunds ETFx HealthTech ETF,,Home,$92683333.26,16-9-1995,South Africa
190,Companhia Brasileira de Distribuicao,,Industrial,$65863090.56,12-12-2001,United States
191,Actua Corporation,,Computers,$93822176.07,2-8-1995,United Kingdom
192,Chemed Corp.,,Industrial,$29891441.13,10-7-1997,United Kingdom
193,"Tower International, Inc.",,Music,$17607137.54,2-2-2013,United States
194,Cognizant Technology Solutions Corporation,,Shoes,$50865269.56,9-7-2008,United States
195,The Carlyle Group L.P.,jouchterlony5e@cnet.com,Kids,$79250741.94,5-12-1986,United Kingdom
196,"P & F Industries, Inc.",,Shoes,$19285527.87,24-7-2002,United States
197,"BancorpSouth, Inc.",,Tools,$74913147.02,18-10-2002,South Africa
198,Xperi Corporation,,Automotive,$15989885.34,17-12-2010,South Africa
199,Agrium Inc.,,Outdoors,$36905259.52,18-1-2006,United States
200,EXFO Inc,ssemerad5j@list-manage.com,Grocery,$9436329.07,16-7-2000,United Kingdom
201,"Texas Capital Bancshares, Inc.",,Outdoors,$78190419.71,26-5-1991,South Africa
202,Immuron Limited,lderrick5l@chicagotribune.com,Beauty,$66799626.75,10-1-1994,United States
203,"Ambarella, Inc.",,Baby,$14384553.05,12-6-2001,United Kingdom
204,Western Asset/Claymore U.S. Treasury Inflation Prot Secs Fd,groles5n@histats.com,Grocery,$76757108.46,4-6-2009,United Kingdom
205,DSW Inc.,hlambrechts5o@nih.gov,Books,$15338266.25,24-7-1997,South Africa
206,"Raven Industries, Inc.",,Toys,$94682705.52,5-1-2006,United Kingdom
207,ECA Marcellus Trust I,,Kids,$62620448.49,4-4-1999,United Kingdom
208,Concord Medical Services Holdings Limited,,Sports,$76908385.47,9-4-2000,United Kingdom
209,Shenandoah Telecommunications Co,,Electronics,$32566341.84,17-11-1986,United States
210,"Avid Technology, Inc.",ntuckley5t@earthlink.net,Baby,$52155716.33,11-2-2002,Unknown
211,"SPX FLOW, Inc.",,Outdoors,$29494755.83,16-3-1992,South Africa
212,"Ascena Retail Group, Inc.",,Games,$73301159.69,4-1-2011,South Africa
213,Public Storage,,Books,$12766955.79,16-8-1997,South Africa
214,"Provident Financial Services, Inc",,Grocery,$35478970.33,19-5-2007,Unknown
215,"Ardelyx, Inc.",,Toys,$98561372.98,18-12-1995,United States
216,"Enviva Partners, LP",,Sports,$84614286.16,19-2-1992,United Kingdom
217,Citigroup Inc.,rvern60@mozilla.com,Books,$89488923.52,1-9-2010,United Kingdom
218,"China HGS Real Estate, Inc.",,Toys,$32678110.91,11-3-2006,United States
219,"Analog Devices, Inc.",,Computers,$22323759.98,6-1-1963,United States
220,Oil-Dri Corporation Of America,,Games,$15055607.42,12-7-2007,United Kingdom
221,Investors Real Estate Trust,,Baby,$7611085.91,13-6-2006,United Kingdom
222,Silver Run Acquisition Corporation II,,Computers,$2837235.38,13-7-2002,United States
223,"United Fire Group, Inc",dhartzogs66@gnu.org,Movies,$15910820.03,16-12-2005,United States
224,CHS Inc,lesmead67@aboutads.info,Baby,$26787437.53,8-11-1994,United Kingdom
225,"Fidelity National Financial, Inc.",,Toys,$79468617.68,4-7-1995,United Kingdom
226,Foresight Autonomous Holdings Ltd.,,Automotive,$53012480.56,14-9-1997,United Kingdom
227,IZEA Inc.,otrayte6a@constantcontact.com,Baby,$77507114.76,18-2-1994,United States
228,"Asta Funding, Inc.",,Beauty,$97039022.99,10-1-2011,South Africa
229,Babcock,,Outdoors,$64263388.11,9-3-2005,United Kingdom
230,Salesforce.com Inc,,Books,$96439419.55,26-3-1999,United States
231,Titan Machinery Inc.,knelthorp6e@microsoft.com,Electronics,$86254526.30,18-9-2010,South Africa
232,Tredegar Corporation,jfattori6f@sourceforge.net,Electronics,$7864945.03,8-4-1990,South Africa
233,Origo Acquisition Corporation,,Garden,$1728016.32,5-1-1992,United Kingdom
234,"TJX Companies, Inc. (The)",,Music,$34235905.20,8-5-1997,United States
235,"Cellectar Biosciences, Inc.",kfowells6i@networkadvertising.org,Shoes,$99964688.01,12-7-2004,United Kingdom
236,"AngioDynamics, Inc.",apetto6j@va.gov,Tools,$90724852.27,19-10-2005,United Kingdom
237,Tidewater Inc.,,Clothing,$91237701.42,8-4-2002,United States
238,"Owens-Illinois, Inc.",,Sports,$18609827.64,12-3-2000,United Kingdom
239,THL Credit Senior Loan Fund,aacock6m@merriam-webster.com,Jewelry,$83653032.19,2-11-1986,South Africa
240,"North American Energy Partners, Inc.",bdow6n@biglobe.ne.jp,Garden,$16076794.10,26-4-2001,United States
241,Vanguard Mortgage-Backed Securities ETF,smctavy6o@godaddy.com,Shoes,$38718310.61,4-5-2009,United Kingdom
242,Farmers National Banc Corp.,dstuchburie6p@google.co.jp,Electronics,$34350743.70,13-4-2009,South Africa
243,"Barnes & Noble, Inc.",,Health,$53485703.63,21-7-2011,Unknown
244,"Huaneng Power International, Inc.",,Music,$21644854.74,13-7-1995,United Kingdom
245,Territorial Bancorp Inc.,,Books,$46826939.95,26-3-2007,United Kingdom
246,Gladstone Commercial Corporation,,Toys,$43100751.23,18-6-2011,United States
247,iShares S&P/Citigroup International Treasury Bond Fund,rhackett6u@ed.gov,Health,$99099942.62,23-6-2010,United Kingdom
248,Medallion Financial Corp.,dpillifant6v@4shared.com,Jewelry,$64537013.88,12-11-2005,United States
249,RLI Corp.,,Industrial,$39618461.51,15-12-2011,United States
250,"Myers Industries, Inc.",,Industrial,$14627366.66,15-3-2010,United Kingdom
251,"Emerald Expositions Events, Inc.",cderoos6y@google.fr,Health,$56721357.78,19-12-1992,United Kingdom
252,WashingtonFirst Bankshares Inc,,Jewelry,$299538.23,21-6-1997,United Kingdom
253,"CRA International,Inc.",hpebworth70@amazon.de,Baby,$47467259.25,21-1-1998,United Kingdom
254,PowerShares S&P SmallCap Financials Portfolio,bludman71@oaic.gov.au,Baby,$3093239.26,2-11-1996,South Africa
255,"aTyr Pharma, Inc.",iroache72@theatlantic.com,Electronics,$35739018.00,24-1-2004,South Africa
256,Gramercy Property Trust,daulton73@fastcompany.com,Baby,$8044227.73,4-12-2004,United Kingdom
257,Nuveen Credit Opportunities 2022 Target Term Fund,bferneyhough74@xrea.com,Sports,$36908240.52,23-3-1999,United Kingdom
258,"Beasley Broadcast Group, Inc.",nbolstridge75@sourceforge.net,Tools,$10921888.92,18-7-1990,South Africa
259,"Winnebago Industries, Inc.",,Industrial,$93979378.36,1-3-2002,Unknown
260,"Validus Holdings, Ltd.",ajenno77@go.com,Books,$47628341.82,12-12-2000,United States
261,PICO Holdings Inc.,nhartop78@symantec.com,Electronics,$11900748.53,17-9-2001,United States
262,"J. Jill, Inc.",awhanstall79@blog.com,Games,$95232579.34,21-4-1999,South Africa
263,Caesarstone Ltd.,,Home,$90545858.00,2-12-1991,United Kingdom
264,"ACI Worldwide, Inc.",,Baby,$15520365.27,17-1-1995,United States
265,Azul S.A.,ccullagh7c@census.gov,Sports,$93261905.48,13-2-1998,Unknown
266,Vanguard Russell 1000 Value ETF,,Beauty,$58595676.93,18-1-1992,United Kingdom
267,Sears Canada Inc. ,,Industrial,$35739445.53,6-11-1993,United States
268,KraneShares CSI China Internet ETF,ckarpman7f@nih.gov,Movies,$62374602.62,25-1-1992,South Africa
269,Bank of America Corporation,,Industrial,$94184600.58,23-3-1991,South Africa
270,Ark Restaurants Corp.,,Clothing,$58876962.00,23-2-2003,United States
271,West Corporation,kcandey7i@epa.gov,Health,$48817493.63,6-2-1986,Unknown
272,Weingarten Realty Investors,dtremaine7j@dailymotion.com,Beauty,$693436.41,18-11-2001,United Kingdom
273,"SGOCO Group, Ltd",,Grocery,$44064118.41,27-7-2003,United States
274,"VASCO Data Security International, Inc.",amatys7l@sitemeter.com,Sports,$39520896.36,26-10-2007,United Kingdom
275,"Gray Television, Inc.",,Games,$80288079.25,6-1-1994,United Kingdom
276,MidSouth Bancorp,eslocumb7n@narod.ru,Clothing,$3326844.64,26-12-2004,United Kingdom
277,"Chipotle Mexican Grill, Inc.",wrolfs7o@netvibes.com,Home,$53638450.93,8-1-2008,United States
278,CSRA Inc.,,Garden,$1134704.26,6-4-2000,South Africa
279,Atomera Incorporated,,Movies,$22851944.46,6-7-1997,South Africa
280,"BCE, Inc.",,Electronics,$12744409.82,15-9-2005,United States
281,AllianceBernstein Holding L.P.,dcartmell7s@economist.com,Books,$46829603.20,20-10-2007,United States
282,Nuveen Global High Income Fund,skinman7t@mail.ru,Automotive,$40616606.32,5-4-2002,United Kingdom
283,Bank of America Corporation,mdibben7u@miitbeian.gov.cn,Health,$79341506.08,10-9-2002,United Kingdom
284,"J.B. Hunt Transport Services, Inc.",,Outdoors,$54166771.86,1-2-2006,South Africa
285,Mylan N.V.,aprint7w@icio.us,Shoes,$13818030.98,24-12-2008,South Africa
286,Nutraceutical International Corporation,hyelding7x@blogger.com,Sports,$29676892.07,24-4-2002,United Kingdom
287,Westmoreland Coal Company,,Clothing,$24994117.83,22-2-2005,United States
288,1st Constitution Bancorp (NJ),,Clothing,$79140976.55,1-6-1998,South Africa
289,"TriState Capital Holdings, Inc.",,Garden,$8752678.25,2-1-2006,South Africa
290,Community West Bancshares,,Movies,$93527468.74,24-11-1995,South Africa
291,Enterprise Bancorp Inc,,Kids,$18238390.99,11-8-2000,Unknown
292,National General Holdings Corp,cmauvin83@chron.com,Beauty,$56084351.23,13-9-1987,United States
293,"StealthGas, Inc.",,Computers,$25936422.93,4-9-2003,United Kingdom
294,Rosetta Stone,,Health,$37729619.94,26-4-1998,United Kingdom
295,"Patterson-UTI Energy, Inc.",,Grocery,$74157450.75,27-12-2003,South Africa
296,Blackrock Enhanced Equity Dividend Trust,kprattin87@unc.edu,Computers,$8410018.41,20-12-1999,United Kingdom
297,Ciner Resources LP,,Industrial,$43665957.57,7-3-2012,United Kingdom
298,Franklin Covey Company,,Computers,$86605044.25,12-4-1996,United States
299,"Euronet Worldwide, Inc.",,Health,$76733762.90,3-3-2005,United States
300,"Viking Therapeutics, Inc.",lrupke8b@techcrunch.com,Jewelry,$74800439.59,13-6-2000,South Africa
301,Arch Capital Group Ltd.,jarran8c@admin.ch,Tools,$64061519.97,26-7-1999,United Kingdom
302,South State Corporation,,Outdoors,$21832651.07,3-11-1993,South Africa
303,Monotype Imaging Holdings Inc.,,Shoes,$83036573.09,19-5-2013,United Kingdom
304,"HFF, Inc.",cmckeney8f@eventbrite.com,Games,$33164032.35,18-9-1994,South Africa
